Titulo,Año de estreno - Año finalización,Generos
"Juegos, trampas y dos armas humeantes",1998,"Action, Comedy, Crime"
Las Tortugas Ninja,1990,"Action, Adventure, Comedy"
Un detective suelto en Hollywood,1984,"Action, Comedy, Crime"
One Punch Man,2015–2019,"Animation, Action, Comedy"
Grandes héroes,2014,"Animation, Action, Adventure"
La leyenda de Korra,2012–2014,"Animation, Action, Adventure"
2 pícaros con suerte,1977,"Action, Adventure, Comedy"
Pixeles,2015,"Action, Comedy, Fantasy"
Un Show Más,2009–2017,"Animation, Action, Adventure"
High School DxD,2012–2018,"Animation, Action, Comedy"
Kung Fu Panda,2008,"Animation, Action, Adventure"
RED: Retirados Extremadamente Duros,2010,"Action, Comedy, Crime"
Una Pareja Explosiva,1998,"Action, Comedy, Crime"
Ant-Man and the Wasp,2018,"Action, Adventure, Comedy"
Rescate en el barrio chino,1986,"Action, Adventure, Comedy"
Los hermanos caradura,1980,"Action, Adventure, Comedy"
Rango,2011,"Animation, Action, Adventure"
Bad Boys para siempre,2020,"Action, Comedy, Crime"
Cazafantasmas,2016,"Action, Comedy, Fantasy"
Teen Wolf: The Movie,TV Movie,"Action, Comedy, Drama"
Star Trek: Lower Decks,2020– ,"Animation, Action, Adventure"
Superhéroes: la película,2008,"Action, Comedy, Sci-Fi"
Noche de juegos,I) (2018,"Action, Adventure, Comedy"
Hombres de negro,1997,"Action, Adventure, Comedy"
3 ninjas,1992,"Action, Comedy, Family"
Cowboy Bebop,1998–1999,"Animation, Action, Adventure"
Súper escuela de héroes,2005,"Action, Comedy, Family"
Kick-Ass 2,2013,"Action, Comedy, Crime"
The Last Man on Earth,2015–2018,"Action, Comedy, Drama"
Borderlands,2022,"Action, Adventure, Comedy"
Zombieland: Tiro de gracia,2019,"Action, Comedy, Horror"
Los increíbles 2,2018,"Animation, Action, Adventure"
Kung Fu Panda 3,2016,"Animation, Action, Adventure"
Sr. y Sra. Smith,2005,"Action, Comedy, Crime"
Tate no Yuusha no Nariagari,2019– ,"Animation, Action, Adventure"
Las aventuras del niño tiburón y la niña de fuego,2005,"Action, Adventure, Comedy"
Tiro al blanco,1997,"Action, Comedy, Crime"
xXx: reactivado,2017,"Action, Adventure, Comedy"
Smokin' Aces,2006,"Action, Comedy, Crime"
El vengador tóxico,1984,"Action, Comedy, Horror"
Pokémon,1997– ,"Animation, Action, Adventure"
KinnPorsche la Serie La 'forte,2022,"Action, Comedy, Romance"
Manos a las armas,2019,"Action, Comedy, Crime"
Peter Pan & Wendy,2022,"Action, Adventure, Comedy"
Un espía y medio,2016,"Action, Comedy, Crime"
"Jackass, la película",2002,"Documentary, Action, Comedy"
LEGO Batman: La película,2017,"Animation, Action, Adventure"
Austin Powers: El espía seductor,1999,"Action, Adventure, Comedy"
Willy's Wonderland,2021,"Action, Comedy, Horror"
Miss Simpatía,2000,"Action, Comedy, Crime"
El último gran héroe,1993,"Action, Adventure, Comedy"
Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure"
Dos policías rebeldes,1995,"Action, Comedy, Crime"
La máscara del Zorro,1998,"Action, Adventure, Comedy"
Gintama,2005–2018,"Animation, Action, Comedy"
Los cazafantasmas II,1989,"Action, Comedy, Fantasy"
Henry Danger,2014–2020,"Action, Comedy, Family"
La gran aventura Lego,2014,"Animation, Action, Adventure"
Misterio a bordo,2019,"Action, Comedy, Crime"
(Des)encanto,2018– ,"Animation, Action, Adventure"
Retfærdighedens ryttere,2020,"Action, Comedy, Drama"
Wayne,2019,"Action, Comedy"
The Boondocks,2005–2014,"Animation, Action, Comedy"
La joya del Nilo,1985,"Action, Adventure, Comedy"
The Librarians,2013–2018,"Action, Adventure, Comedy"
One Piece,2022– ,"Action, Adventure, Comedy"
Deadpool 3,,"Action, Comedy, Sci-Fi"
Los Ángeles de Charlie,2000,"Action, Adventure, Comedy"
Final Space,2018–2021,"Animation, Action, Adventure"
Austin Powers en Goldmember,2002,"Action, Adventure, Comedy"
Planeta Terror,2007,"Action, Comedy, Fantasy"
Yoga Hosers,2016,"Action, Comedy, Horror"
La estafa de los Logan,2017,"Action, Comedy, Crime"
Pokémon: Detective Pikachu,2019,"Action, Adventure, Comedy"
"Buffy, la caza vampiros",1992,"Action, Comedy, Fantasy"
Hombre de familia,2019– ,"Action, Comedy, Drama"
I Am Groot,2022– ,"Animation, Short, Action"
Megamente,2010,"Animation, Action, Comedy"
Steven Universe,2013–2020,"Animation, Short, Action"
Tortugas ninja,2014,"Action, Adventure, Comedy"
Fuga a la media noche,1988,"Action, Comedy, Crime"
Grimsby,2016,"Action, Adventure, Comedy"
Los ilusionistas 2,2016,"Action, Adventure, Comedy"
Un detective suelto en Hollywood II,1987,"Action, Comedy, Crime"
El gigante de hierro,1999,"Animation, Action, Adventure"
Binsenjo,2021– ,"Action, Comedy, Crime"
Cómo entrenar a tu dragón 3,2019,"Animation, Action, Adventure"
Lethal Weapon,2016–2019,"Action, Comedy, Crime"
The Chase,1994,"Action, Adventure, Comedy"
Sonic the Hedgehog 3,,"Animation, Action, Adventure"
Loca academia de pilotos,1991,"Action, Comedy"
Close Enough,2020– ,"Animation, Action, Adventure"
Mini espías,2001,"Action, Adventure, Comedy"
Los Dukes de Hazzard,1979–1985,"Action, Comedy"
Z Nation,2014–2018,"Action, Comedy, Drama"
"Howard, el superhéroe",1986,"Action, Adventure, Comedy"
The VelociPastor,2018,"Action, Adventure, Comedy"
Vuelo Nocturno 2,II) (2020,"Action, Comedy, Drama"
Una noche en el fin del mundo,2013,"Action, Comedy, Sci-Fi"
Dirk Gently's Holistic Detective Agency,2016–2017,"Action, Adventure, Comedy"
Hombres de Negro 3,2012,"Action, Adventure, Comedy"
Avatar: The Last Airbender,,"Action, Adventure, Comedy"
Las aventuras de Jim West,1999,"Action, Comedy, Sci-Fi"
Tortugas Ninja 2: Fuera de las sombras,2016,"Action, Adventure, Comedy"
Los Thunderman,2013–2018,"Action, Comedy, Drama"
Cómo entrenar a tu dragón 2,2014,"Animation, Action, Adventure"
Phineas y Ferb,2007–2015,"Animation, Short, Action"
Spy: una espía despistada,2015,"Action, Comedy"
Los vengadores,1961–1969,"Action, Comedy, Crime"
Los Guardianes de la justicia,2022– ,"Animation, Action, Adventure"
Maverick,1994,"Action, Adventure, Comedy"
Viaje al Centro de la Tierra 2: La Isla Misteriosa,2012,"Action, Adventure, Comedy"
3 Ninjas Kick Back,1994,"Action, Comedy, Family"
Mob Psycho 100,2016– ,"Animation, Action, Comedy"
La chica del tanque,1995,"Action, Comedy, Sci-Fi"
¡Te atrapé!,I) (2018,"Action, Comedy"
Nanatsu no taizai,2014–2021,"Animation, Action, Adventure"
Pequeños guerreros,1998,"Action, Adventure, Comedy"
Dragon Ball Super,2015–2018,"Animation, Action, Adventure"
¡Hatari!,1962,"Action, Adventure, Comedy"
Una loca entrevista,II) (2014,"Action, Adventure, Comedy"
"El mundo está loco, loco, loco",1963,"Action, Adventure, Comedy"
George de la selva,1997,"Action, Adventure, Comedy"
Untitled Pirates of the Caribbean Project,,"Action, Adventure, Comedy"
Jolt,2021,"Action, Comedy, Crime"
Strange World,2022,"Animation, Action, Adventure"
Zathura - Una aventura espacial,2005,"Action, Adventure, Comedy"
Armados y peligrosos,2013,"Action, Comedy, Crime"
Kung Fu Panda 2,2011,"Animation, Action, Adventure"
Kung Fury: The Movie,2022,"Action, Comedy, Crime"
Dragon Ball,1986–1989,"Animation, Action, Adventure"
L.A.'s Finest,2019–2020,"Action, Comedy, Crime"
PatoAventuras,2017–2021,"Animation, Action, Adventure"
Threat Level Midnight: The Movie,2019 TV Short,"Short, Action, Comedy"
Comando especial 2,2014,"Action, Comedy, Crime"
Baymax!,2022– ,"Animation, Action, Adventure"
El viaje,2021,"Action, Comedy, Horror"
Venganza,2019,"Action, Comedy, Crime"
Teen Titans,2003–2006,"Animation, Action, Adventure"
Fairy Tail: Fearî teiru,2009–2019,"Animation, Action, Adventure"
Carrera de locos,1981,"Action, Comedy, Sport"
"Orgullo, prejuicio y zombies",2016,"Action, Comedy, Fantasy"
Future Man,2017–2020,"Action, Adventure, Comedy"
No te metas con Zohan,2008,"Action, Comedy"
The Man from Toronto,2022,"Action, Comedy, Thriller"
¡Esto es guerra!,2012,"Action, Comedy, Romance"
The Hunter,1980,"Action, Biography, Comedy"
Ámame o muérete,2010,"Action, Comedy, Romance"
Una pareja explosiva 2,2001,"Action, Comedy, Crime"
R.I.P.D.: Policía del más allá,2013,"Action, Adventure, Comedy"
Star Trek: Prodigy,2021– ,"Animation, Action, Adventure"
RED 2,2013,"Action, Adventure, Comedy"
Inadaptados,2021,"Action, Adventure, Comedy"
48 horas,1982,"Action, Comedy, Crime"
Los tres mosqueteros,1993,"Action, Adventure, Comedy"
Kung fu,2004,"Action, Comedy, Fantasy"
Dora y la ciudad perdida,2019,"Action, Adventure, Comedy"
Spenser Confidential,2020,"Action, Comedy, Crime"
El Último Boy Scout,1991,"Action, Comedy, Crime"
Spree,2020,"Action, Comedy, Crime"
Mystery Men,1999,"Action, Comedy, Fantasy"
Fuerza Danger,2020– ,"Action, Comedy, Family"
The Toxic Avenger,,"Action, Adventure, Comedy"
Bachchhan Paandey,2022,"Action, Comedy, Crime"
El perro samurai: La leyenda de Kakamucho,2022,"Animation, Action, Comedy"
Acusado sin razón,1998,"Action, Comedy, Thriller"
Jay and Silent Bob Reboot,2019,"Action, Adventure, Comedy"
The Ridiculous 6,2015,"Action, Adventure, Comedy"
Zoolander 2,2016,"Action, Adventure, Comedy"
Happy!,2017–2019,"Action, Comedy, Crime"
Profesión peligro,1981–1986,"Action, Adventure, Comedy"
Las Tortugas Ninja II,1991,"Action, Adventure, Comedy"
8 días de terror,1986,"Action, Comedy, Horror"
La vida acuática con Steve Zissou,2004,"Action, Adventure, Comedy"
Slaughterhouse Rulez,2018,"Action, Comedy, Fantasy"
Una pareja explosiva 3,2007,"Action, Comedy, Crime"
Fuerza Trueno,2021,"Action, Adventure, Comedy"
Lego Star Wars: The Skywalker Saga,2022 Video Game,"Action, Adventure, Comedy"
Chicas armadas y peligrosas,I) (2013,"Action, Comedy, Crime"
El mundo está loco loco,2001,"Action, Adventure, Comedy"
Stuber: locos al volante,2019,"Action, Comedy, Crime"
Los Ángeles de Charlie: Al límite,2003,"Action, Adventure, Comedy"
Hombres de negro II,2002,"Action, Adventure, Comedy"
Super,I) (2010,"Action, Comedy, Crime"
Bad Boys II: Vuelven más rebeldes,2003,"Action, Comedy, Crime"
Tae-yang-eui hoo-ye,2016,"Action, Comedy, Drama"
Mr. Right,I) (2015,"Action, Comedy, Romance"
Los Jóvenes Titanes en Acción,2013– ,"Animation, Short, Action"
The Guardians of the Galaxy: Holiday Special,2022,"Action, Adventure, Comedy"
El Tesoro del Amazonas,2003,"Action, Adventure, Comedy"
El superagente 86,2008,"Action, Adventure, Comedy"
Mi ex es un espía,2018,"Action, Adventure, Comedy"
Powerpuff,,"Action, Adventure, Comedy"
Tango y Cash,1989,"Action, Comedy, Crime"
Amor y tesoro,I) (2008,"Action, Adventure, Comedy"
La Última Batalla,1994,"Action, Adventure, Comedy"
Peter Pan,2015,"Action, Adventure, Comedy"
'Ohana: Un magnífico tesoro,2021,"Action, Adventure, Comedy"
Pendenciero rebelde,1978,"Action, Comedy"
Daybreak,I) (2019,"Action, Adventure, Comedy"
She-Ra y las princesas del poder,2018–2020,"Animation, Action, Adventure"
That Time I Got Reincarnated as a Slime,2018– ,"Animation, Action, Adventure"
¡Loca academia de pilotos! Parte 2,1993,"Action, Comedy"
Day Shift,2022,"Action, Comedy, Fantasy"
Sahara,2005,"Action, Adventure, Comedy"
Assassination Classroom,2013–2016,"Animation, Action, Comedy"
A la *&$%! con los Zombis,2015,"Action, Comedy, Horror"
Ninjago,2019– ,"Animation, Action, Adventure"
Star vs. las fuerzas del mal,2015–2019,"Animation, Short, Action"
Niñera a prueba de balas,2005,"Action, Comedy, Drama"
Teenage Mutant Ninja Turtles,2012–2017,"Animation, Action, Adventure"
Catch-22,2019,"Action, Adventure, Comedy"
The Last Dragon,1985,"Action, Comedy, Drama"
El superagente 86,1965–1970,"Action, Adventure, Comedy"
Lo que el agua se llevó,2006,"Animation, Action, Adventure"
Viaje salvaje,2017,"Action, Adventure, Comedy"
El cocodrilo,1999,"Action, Comedy, Horror"
Cocodrilo Dundee,1986,"Action, Adventure, Comedy"
Amos del Universo: Revelación,2021– ,"Animation, Action, Adventure"
Osmosis Jones,2001,"Animation, Action, Adventure"
Batman,1966,"Action, Adventure, Comedy"
Repugnante,I) (2013,"Action, Comedy, Crime"
M.O.D.O.K.,2021,"Animation, Action, Comedy"
Academia de vampiros,2014,"Action, Comedy, Drama"
One for the Money,2012,"Action, Comedy, Crime"
Piratas: El último tesoro de la corona,2022,"Action, Adventure, Comedy"
Seis días y siete noches,1998,"Action, Adventure, Comedy"
Terror bajo la tierra 2,1996 Video,"Action, Comedy, Horror"
Ninjago: Masters of Spinjitzu,2011–2019,"Animation, Action, Adventure"
El caza recompensas,I) (2010,"Action, Comedy, Romance"
The Tick,2016–2019,"Action, Adventure, Comedy"
Zoom,2006,"Action, Adventure, Comedy"
The Mysterious Benedict Society,2021– ,"Action, Adventure, Comedy"
De l'autre côté du périph,2012,"Action, Comedy, Crime"
Wild Hogs,2007,"Action, Adventure, Comedy"
Sharknado,2013 TV Movie,"Action, Adventure, Comedy"
Viaje insólito,1987,"Action, Adventure, Comedy"
30 minutos o menos,2011,"Action, Comedy, Crime"
Team America: Policía Mundial,2004,"Action, Comedy"
Power Rangers Dino Fury,2021–2022,"Action, Adventure, Comedy"
Shanghai Noon,2000,"Action, Adventure, Comedy"
Héroe de centro comercial,2009,"Action, Comedy, Crime"
"Meteoro, la película",2008,"Action, Adventure, Comedy"
Dokutaa Sutoon,2019– ,"Animation, Action, Adventure"
Spaced,1999–2001,"Action, Comedy"
True Lies,2023– ,"Action, Adventure, Comedy"
Ben 10: Omniverse,2012–2014,"Animation, Action, Adventure"
Kim Possible,2002–2007,"Animation, Action, Adventure"
The Professionals,1977–1983,"Action, Comedy, Crime"
The Venture Bros.,2003–2018,"Animation, Action, Adventure"
Mini espías 3,2003,"Action, Adventure, Comedy"
1941,1979,"Action, Comedy, War"
Dead Heat,1988,"Action, Comedy, Horror"
La tierra perdida,2009,"Action, Adventure, Comedy"
Misterios animales,2022– ,"Animation, Action, Adventure"
Ishtar,1987,"Action, Adventure, Comedy"
Sonic Prime,2022– ,"Animation, Action, Adventure"
Esclavas de otra galaxia,1987,"Action, Adventure, Comedy"
Tres reyes,1999,"Action, Adventure, Comedy"
The Do-Over,2016,"Action, Adventure, Comedy"
Spidey y sus sorprendentes amigos,2021– ,"Animation, Action, Adventure"
Key and Peele,2012–2015,"Action, Adventure, Comedy"
Infectados,2014,"Action, Comedy, Horror"
El maestro luchador,2012,"Action, Comedy, Sport"
Robo en las alturas,2011,"Action, Comedy, Crime"
Twisted Metal,,"Action, Comedy"
MacGruber,2021– ,"Action, Comedy"
Monstruos vs. Aliens,2009,"Animation, Action, Adventure"
Wrecked,2016–2018,"Action, Adventure, Comedy"
Meitantei Conan,1996– ,"Animation, Action, Comedy"
Operación Ultra,2015,"Action, Comedy"
Los hermanos Grimm,2005,"Action, Adventure, Comedy"
Viaje a las estrellas IV - Misión: Salvar la Tierra,1986,"Action, Adventure, Comedy"
Sonic Boom,2014–2017,"Animation, Short, Action"
La gran aventura LEGO 2,2019,"Animation, Action, Adventure"
Angry Birds: La película,2016,"Animation, Action, Adventure"
Hagane no renkinjutsushi,2003–2004,"Animation, Action, Adventure"
Deadly Class,2018–2019,"Action, Adventure, Comedy"
Tiny Tina's Wonderlands,2022 Video Game,"Action, Adventure, Comedy"
War on Everyone,2016,"Action, Comedy, Crime"
The Sweeney,1974–1978,"Action, Comedy, Crime"
Faena a la italiana,1969,"Action, Comedy, Crime"
Jackass,2000–2007,"Action, Comedy, Reality-TV"
Hit-Monkey,2021– ,"Animation, Action, Adventure"
Bungou Stray Dogs,2016– ,"Animation, Action, Comedy"
Espiando a los vecinos,2016,"Action, Comedy"
Un detective suelto en Hollywood III,1994,"Action, Comedy, Crime"
Ala Vaikunthapurramuloo,2020,"Action, Comedy, Drama"
Tremors: Shrieker Island,2020 Video,"Action, Adventure, Comedy"
Chainsaw Man,2022– ,"Animation, Action, Adventure"
Conejo samurái: Las crónicas de Usagi,2022– ,"Animation, Action, Adventure"
CHIPS: Patrulla motorizada,2017,"Action, Comedy, Crime"
Johnny English,2003,"Action, Adventure, Comedy"
"Game Over, Man!",2018,"Action, Comedy"
Iron Sky,2012,"Action, Adventure, Comedy"
Zack y Cody: Gemelos a bordo,2008–2011,"Action, Adventure, Comedy"
Los Vengadores unidos,2012–2019,"Animation, Action, Adventure"
Tengen toppa gurren lagann,2007–2008,"Animation, Action, Adventure"
Superman III,1983,"Action, Adventure, Comedy"
El origen de los guardianes,2012,"Animation, Action, Adventure"
Akame ga Kill!,2014,"Animation, Action, Adventure"
"The Adventures of Brisco County, Jr.",1993–1994,"Action, Adventure, Comedy"
Hotel Del Luna,2019,"Action, Comedy, Drama"
Las Tortugas Ninja,1987–1996,"Animation, Action, Adventure"
Samurai Champloo,2004–2005,"Animation, Action, Adventure"
En Busca del Niño Dorado,1986,"Action, Adventure, Comedy"
Sonic X,2003–2006,"Animation, Action, Adventure"
Mi amigo el dragón,2016,"Action, Adventure, Comedy"
The Ice Pirates,1984,"Action, Adventure, Comedy"
Free Fire,2016,"Action, Comedy, Crime"
Agentes del desorden,2014,"Action, Comedy, Crime"
Q-Force,2021– ,"Animation, Action, Adventure"
Grandes espías,2020,"Action, Comedy"
Las Tortugas Ninja III,1993,"Action, Adventure, Comedy"
Les valseuses,1974,"Action, Comedy, Crime"
El reclamador,1984,"Action, Comedy, Crime"
Guardianes,2017,"Action, Adventure, Comedy"
Men at Work,1990,"Action, Comedy, Crime"
Gangs of Wasseypur,2012,"Action, Comedy, Crime"
Jackass número dos,2006,"Documentary, Action, Comedy"
Ultimate Spider-Man,2012–2017,"Animation, Action, Adventure"
3 Ninjas: Knuckle Up,1995,"Action, Comedy, Family"
Marvel's Guardians of the Galaxy,2021 Video Game,"Action, Adventure, Comedy"
Espías a escondidas,2019,"Animation, Action, Adventure"
¡El show de Cuphead!,2022– ,"Animation, Short, Action"
La vuelta al mundo en 80 días,2004,"Action, Adventure, Comedy"
Supercool,I) (2021,"Action, Comedy, Crime"
Mi pobre angelito 3,1997,"Action, Comedy, Crime"
Las chicas superpoderosas,1998–2007,"Animation, Action, Adventure"
Paradise PD,2018– ,"Animation, Action, Comedy"
Book of Monsters,2018,"Action, Comedy, Horror"
No Ordinary Family,2010–2011,"Action, Comedy, Drama"
Attack the Block,2011,"Action, Adventure, Comedy"
Campamento en el fin del mundo,2019,"Action, Adventure, Comedy"
Angry Birds 2: la película,2019,"Animation, Action, Adventure"
Red One,2023,"Action, Adventure, Comedy"
Nación asesina,2018,"Action, Comedy, Crime"
The Machine,III,"Action, Comedy"
La carrera del siglo,1965,"Action, Adventure, Comedy"
Kung Fu Panda: The Dragon Knight,2022– ,"Animation, Action, Adventure"
Dragons: Race to the Edge,2015–2018,"Animation, Action, Adventure"
Jackass 3D,2010,"Documentary, Action, Comedy"
La huída,2007,"Action, Comedy, Thriller"
¿Quién mató a los puppets?,2018,"Action, Comedy, Crime"
Dragons: The Nine Realms,2021– ,"Animation, Action, Adventure"
Al Caer La Noche,2004,"Action, Comedy, Crime"
La pirata,1995,"Action, Adventure, Comedy"
El fantasma,1996,"Action, Adventure, Comedy"
TMNT: Las Tortugas Ninja,2007,"Animation, Action, Adventure"
Jackass 3.5,2011 Video,"Documentary, Action, Comedy"
Death Race 2000,1975,"Action, Comedy, Sci-Fi"
Agatha: House of Harkness,,"Action, Adventure, Comedy"
Taxi,I) (2004,"Action, Comedy, Crime"
The Hyperions,2022,"Action, Comedy"
Infierno rojo,1988,"Action, Comedy, Crime"
Inspector Gadget,1999,"Action, Adventure, Comedy"
El ataque de las arañas,2002,"Action, Adventure, Comedy"
Las aventuras del Capitán Calzoncillos: la película,2017,"Animation, Action, Adventure"
El halcón está suelto,1991,"Action, Adventure, Comedy"
K.C. Undercover,2015–2018,"Action, Comedy, Drama"
Lexx,1996–2002,"Action, Adventure, Comedy"
Trollhunters,2016–2018,"Animation, Action, Adventure"
The Kill Room,,"Action, Comedy, Crime"
"Gaikotsu Kishi-sama, Tadaima isekai e odekake-chû",2022– ,"Animation, Action, Adventure"
Robin Hood,2006–2009,"Action, Adventure, Comedy"
Total Drama Island,2007–2014,"Animation, Action, Comedy"
Monster Trucks,2016,"Action, Adventure, Comedy"
Sailor Moon,1992–1997,"Animation, Action, Adventure"
Dos inútiles en patrulla,2010,"Action, Comedy, Crime"
The Baytown Outlaws,2012,"Action, Comedy, Crime"
Carry on Columbus,1992,"Action, Adventure, Comedy"
Aventureros del aire,1990–1991,"Animation, Action, Adventure"
Shaft,2019,"Action, Comedy, Crime"
Lab Rats,2012–2016,"Action, Comedy, Drama"
The Paper Tigers,2020,"Action, Comedy"
La guardia del león,2015–2022,"Animation, Action, Adventure"
El avispón verde,2011,"Action, Comedy, Crime"
Murder Mystery 2,,"Action, Comedy, Crime"
Kiru ra kiru: KILL la KILL,2013–2014,"Animation, Action, Comedy"
Flint peligro supremo,1966,"Action, Adventure, Comedy"
The Spy Next Door,2010,"Action, Comedy, Family"
Johnny English Recargado,2011,"Action, Adventure, Comedy"
Hilleo,2014–2015,"Action, Comedy, Crime"
Con temple de acero,1982–1987,"Action, Adventure, Comedy"
Die in a Gunfight,2021,"Action, Comedy, Crime"
El escuadrón de los monstruos,1987,"Action, Comedy, Fantasy"
Miss Simpatía 2: armada y fabulosa,2005,"Action, Comedy, Crime"
Superintelligence,2020,"Action, Comedy, Romance"
El dragón,1972,"Action, Adventure, Comedy"
Taxi,I) (1998,"Action, Comedy, Crime"
Siu Lam juk kau,2001,"Action, Comedy, Fantasy"
LEGO Ninjago la película,2017,"Animation, Action, Adventure"
Agentes Vanguard,I) (2020,"Action, Adventure, Comedy"
Date a Live,2013– ,"Animation, Action, Comedy"
Mayhem,2017,"Action, Comedy, Horror"
Black Dynamite,2009,"Action, Comedy"
Deathgasm,2015,"Action, Comedy, Horror"
Adventure Time: Distant Lands,2020–2021,"Animation, Action, Adventure"
Doctor Strange en el multiverso de la locura,2022,"Action, Adventure, Fantasy"
She-Hulk: Attorney at Law,2022– ,"Action, Adventure, Comedy"
Stranger Things,2016– ,"Drama, Fantasy, Horror"
Morbius,2022,"Action, Adventure, Horror"
Chip y Dale: Al rescate,2022,"Animation, Adventure, Comedy"
Batman,2022,"Action, Crime, Drama"
Moon Knight,2022,"Action, Adventure, Fantasy"
Star Trek: Strange New Worlds,2022– ,"Action, Adventure, Sci-Fi"
The Boys,2019– ,"Action, Crime, Drama"
Game of Thrones,2011–2019,"Action, Adventure, Drama"
Obi-Wan Kenobi,2022,"Action, Adventure, Sci-Fi"
Doctor Strange: hechicero supremo,2016,"Action, Adventure, Fantasy"
Spider-Man: sin camino a casa,2021,"Action, Adventure, Fantasy"
Thor: amor y trueno,2022,"Action, Adventure, Fantasy"
Aquaman,2018,"Action, Adventure, Fantasy"
Sonic 2: La Película,2022,"Action, Adventure, Comedy"
The Umbrella Academy,2019– ,"Action, Adventure, Comedy"
Flash,2014– ,"Action, Adventure, Drama"
One Piece: Wan pîsu,1999– ,"Animation, Action, Adventure"
WandaVision,2021,"Action, Comedy, Drama"
The Mandalorian,2019– ,"Action, Adventure, Fantasy"
Star Trek: Discovery,2017– ,"Action, Adventure, Drama"
Eternos,2021,"Action, Adventure, Fantasy"
Riverdale,2017–2023,"Crime, Drama, Mystery"
Avengers: Endgame,2019,"Action, Adventure, Drama"
The Equalizer,2021– ,"Action, Crime, Drama"
Aquaman and the Lost Kingdom,2023,"Action, Adventure, Fantasy"
Daredevil,2015–2018,"Action, Crime, Drama"
Loki,2021– ,"Action, Adventure, Fantasy"
Batman: El Caballero de la Noche,2008,"Action, Crime, Drama"
What If...?,2021– ,"Animation, Action, Adventure"
El libro de Boba Fett,2021– ,"Action, Adventure, Sci-Fi"
Legacies,2018–2022,"Adventure, Drama, Fantasy"
El Escuadrón Suicida,2021,"Action, Adventure, Comedy"
Viaje a las estrellas: La nueva generación,1987–1994,"Action, Adventure, Sci-Fi"
Sonic. la película,2020,"Action, Adventure, Comedy"
Superman and Lois,2021– ,"Action, Adventure, Drama"
Star Wars: La guerra de los clones,2008–2020,"Animation, Action, Adventure"
Peacemaker,2022– ,"Action, Adventure, Comedy"
Shang-Chi Y La Leyenda De Los Diez Anillos,2021,"Action, Adventure, Fantasy"
Sherlock,2010–2017,"Crime, Drama, Mystery"
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi"
Inhumanos,2017,"Action, Adventure, Sci-Fi"
The Sandman,2022– ,"Drama, Fantasy, Horror"
"Buffy, la cazavampiros",1997–2003,"Action, Drama, Fantasy"
Viaje a las estrellas,1966–1969,"Action, Adventure, Sci-Fi"
Hawkeye,2021,"Action, Adventure, Crime"
La Liga de la Justicia de Zack Snyder,2021,"Action, Adventure, Fantasy"
Venom: Carnage Liberado,2021,"Action, Adventure, Sci-Fi"
Los cazafantasmas,1984,"Action, Comedy, Fantasy"
Agents of S.H.I.E.L.D,2013–2020,"Action, Adventure, Drama"
Black Adam,2022,"Action, Fantasy, Sci-Fi"
Ash contra el mal,2015–2018,"Action, Comedy, Fantasy"
Viajeros en el tiempo,1989–1993,"Action, Adventure, Drama"
Thor: Ragnarok,2017,"Action, Adventure, Comedy"
Gotham,2014–2019,"Action, Crime, Drama"
Spider-Man: de regreso a casa,2017,"Action, Adventure, Sci-Fi"
Thor,2011,"Action, Adventure, Fantasy"
Smallville,2001–2017,"Action, Adventure, Drama"
Ms. Marvel,2022– ,"Action, Adventure, Comedy"
Titanes,I) (2018– ,"Action, Adventure, Crime"
El hombre araña,2002,"Action, Adventure, Sci-Fi"
Black Panther: Wakanda Forever,2022,"Action, Adventure, Drama"
Invincible,2021– ,"Animation, Action, Adventure"
Liga de la Justicia,2017,"Action, Adventure, Fantasy"
Arrow,2012–2020,"Action, Adventure, Crime"
Guardianes de la galaxia,2014,"Action, Adventure, Comedy"
Fantastic Four,,"Action, Adventure, Sci-Fi"
Black Widow,2021,"Action, Adventure, Sci-Fi"
Deadpool,2016,"Action, Adventure, Comedy"
Deadpool 2,2018,"Action, Adventure, Comedy"
Capitana Marvel,2019,"Action, Adventure, Sci-Fi"
Avatar: la leyenda de Aang,2005–2008,"Animation, Action, Adventure"
Los 4 fantásticos,2015,"Action, Adventure, Sci-Fi"
"Hulk, el hombre increible",2008,"Action, Adventure, Sci-Fi"
The Punisher,2017–2019,"Action, Crime, Drama"
Spider-Man: Un nuevo universo,2018,"Animation, Action, Adventure"
Sombra y hueso,2021– ,"Action, Adventure, Drama"
G.I. Joe: Snake Eyes,2021,"Action, Adventure, Crime"
DC's Legends of Tomorrow,2016–2022,"Action, Adventure, Drama"
Escuadrón Suicida,2016,"Action, Adventure, Fantasy"
Young Justice,2010– ,"Animation, Action, Adventure"
Iron Man: el hombre de hierro,2008,"Action, Adventure, Sci-Fi"
Vigilados,2011–2016,"Action, Crime, Drama"
Batman: El caballero de la noche asciende,2012,"Action, Crime, Drama"
Pantera Negra,2018,"Action, Adventure, Sci-Fi"
The Avengers: Los Vengadores,2012,"Action, Adventure, Sci-Fi"
Batman inicia,2005,"Action, Crime, Drama"
Star Wars Rebels,2014–2018,"Animation, Action, Adventure"
Avengers: Era de Ultrón,2015,"Action, Adventure, Sci-Fi"
El primer vengador,2011,"Action, Adventure, Sci-Fi"
Los 4 Fantásticos,I) (2005,"Action, Adventure, Fantasy"
